Pass;CWindow;SF;RMSE_SSD;RMSE_SSWE;R2_SSD;R2_SSWE;MAE_SSD;MAE_SSWE
ASC;(5, 5);1.0;354.23;1166.32;0.85;0.53;345.16;1153.05
ASC;(5, 5);2.0;154.31;507.55;0.85;0.53;150.0;500.68
ASC;(5, 5);3.0;87.7;288.09;0.85;0.53;84.94;283.22
ASC;(5, 5);4.0;54.43;178.51;0.85;0.53;52.42;174.49
ASC;(5, 5);5.0;34.53;112.99;0.85;0.53;32.9;109.25
ASC;(5, 5);6.0;21.35;69.68;0.85;0.53;19.89;65.76
ASC;(5, 5);7.0;12.14;39.6;0.85;0.53;10.59;34.69
ASC;(5, 5);8.0;5.93;19.85;0.85;0.53;5.26;17.66
ASC;(5, 5);9.0;4.28;15.72;0.85;0.53;3.94;13.97
ASC;(5, 5);10.0;7.02;24.73;0.85;0.53;6.13;21.22
ASC;(5, 5);11.0;9.3;28.77;1.0;1.0;8.62;27.1
ASC;(5, 5);12.0;12.59;39.24;1.0;1.0;12.02;37.96
ASC;(5, 5);13.0;15.41;48.23;1.0;1.0;14.9;47.15
ASC;(5, 5);14.0;17.85;55.99;1.0;1.0;17.36;55.03
ASC;(5, 5);15.0;19.97;62.74;1.0;1.0;19.5;61.86
ASC;(5, 5);16.0;21.83;68.66;1.0;1.0;21.37;67.83
ASC;(5, 5);17.0;23.47;73.89;1.0;1.0;23.02;73.1
ASC;(5, 5);18.0;24.93;78.55;1.0;1.0;24.48;77.79
ASC;(5, 5);19.0;26.23;82.72;1.0;1.0;25.79;81.98
ASC;(5, 5);20.0;27.41;86.47;1.0;1.0;26.97;85.76
ASC;(5, 5);21.0;28.48;89.87;1.0;1.0;28.04;89.17
ASC;(5, 5);22.0;29.45;92.95;1.0;1.0;29.01;92.27
ASC;(5, 5);23.0;30.33;95.78;1.0;1.0;29.9;95.11
ASC;(5, 5);24.0;31.14;98.36;1.0;1.0;30.71;97.71
ASC;(5, 5);25.0;31.89;100.74;1.0;1.0;31.46;100.1
ASC;(5, 5);26.0;32.58;102.94;1.0;1.0;32.15;102.3
ASC;(5, 5);27.0;33.22;104.98;1.0;1.0;32.79;104.34
ASC;(5, 5);28.0;33.81;106.87;1.0;1.0;33.38;106.24
ASC;(5, 5);29.0;34.36;108.63;1.0;1.0;33.93;108.01
ASC;(5, 5);30.0;34.88;110.27;1.0;1.0;34.45;109.65
ASC;(5, 5);31.0;35.36;111.81;1.0;1.0;34.93;111.2
ASC;(5, 5);32.0;35.81;113.25;1.0;1.0;35.38;112.64
ASC;(5, 5);33.0;36.24;114.6;1.0;1.0;35.81;114.0
ASC;(5, 5);34.0;36.64;115.88;1.0;1.0;36.21;115.28
ASC;(5, 5);35.0;37.01;117.08;1.0;1.0;36.58;116.48
ASC;(5, 5);36.0;37.37;118.22;1.0;1.0;36.94;117.62
ASC;(5, 5);37.0;37.71;119.29;1.0;1.0;37.28;118.7
ASC;(5, 5);38.0;38.03;120.31;1.0;1.0;37.6;119.72
ASC;(5, 5);39.0;38.33;121.27;1.0;1.0;37.9;120.68
ASC;(5, 5);40.0;38.62;122.19;1.0;1.0;38.19;121.6
ASC;(5, 5);41.0;38.89;123.06;1.0;1.0;38.46;122.48
ASC;(5, 5);42.0;39.15;123.89;1.0;1.0;38.72;123.31
ASC;(5, 5);43.0;39.4;124.68;1.0;1.0;38.97;124.1
ASC;(5, 5);44.0;39.64;125.44;1.0;1.0;39.21;124.86
ASC;(5, 5);45.0;39.86;126.16;1.0;1.0;39.43;125.59
ASC;(5, 5);46.0;40.08;126.85;1.0;1.0;39.65;126.28
ASC;(5, 5);47.0;40.29;127.51;1.0;1.0;39.86;126.94
ASC;(5, 5);48.0;40.49;128.15;1.0;1.0;40.06;127.58
ASC;(5, 5);49.0;40.68;128.76;1.0;1.0;40.25;128.19
ASC;(5, 5);50.0;40.86;129.34;1.0;1.0;40.43;128.77
ASC;(5, 5);51.0;41.04;129.9;1.0;1.0;40.61;129.34
ASC;(5, 5);52.0;41.2;130.44;1.0;1.0;40.77;129.88
ASC;(5, 5);53.0;41.37;130.96;1.0;1.0;40.94;130.4
ASC;(5, 5);54.0;41.52;131.46;1.0;1.0;41.09;130.9
ASC;(5, 5);55.0;41.68;131.94;1.0;1.0;41.24;131.38
ASC;(5, 5);56.0;41.82;132.41;1.0;1.0;41.39;131.85
ASC;(5, 5);57.0;41.96;132.86;1.0;1.0;41.53;132.3
ASC;(5, 5);58.0;42.1;133.29;1.0;1.0;41.67;132.73
ASC;(5, 5);59.0;42.23;133.71;1.0;1.0;41.8;133.15
ASC;(5, 5);60.0;42.36;134.11;1.0;1.0;41.92;133.55
ASC;(5, 5);61.0;42.48;134.5;1.0;1.0;42.05;133.95
ASC;(5, 5);62.0;42.6;134.88;1.0;1.0;42.17;134.32
ASC;(5, 5);63.0;42.71;135.25;1.0;1.0;42.28;134.69
ASC;(5, 5);64.0;42.82;135.6;1.0;1.0;42.39;135.05
ASC;(5, 5);65.0;42.93;135.95;1.0;1.0;42.5;135.39
ASC;(5, 5);66.0;43.04;136.28;1.0;1.0;42.6;135.73
ASC;(5, 5);67.0;43.14;136.6;1.0;1.0;42.71;136.05
ASC;(5, 5);68.0;43.24;136.92;1.0;1.0;42.8;136.36
ASC;(5, 5);69.0;43.33;137.22;1.0;1.0;42.9;136.67
ASC;(5, 5);70.0;43.42;137.52;1.0;1.0;42.99;136.97
ASC;(5, 5);71.0;43.51;137.81;1.0;1.0;43.08;137.26
