CWindow Epsilon CThreshold SWindow Mean_SSD(cm) SD_SSD(cm) Mean_SWE(mm) SD_SWE(mm)
3 0.005 0.6 (3,3) 1.0585085 2.657158 4.1705236 10.469201
3 0.005 0.6 (5,5) 9.939724 14.164406 39.16251 55.807762
3 0.005 0.6 (7,7) 37.084274 10.27942 146.11206 40.50091
3 0.005 0.6 (9,9) 52.063873 5.350286 205.13167 21.080126
3 0.005 0.6 (11,11) 57.161392 5.401228 225.21588 21.280834
3 0.005 0.6 (13,13) 54.612194 5.280981 215.17206 20.807066
3 0.005 0.6 (15,15) 56.10401 5.993931 221.04979 23.616087
3 0.005 0.6 (17,17) 55.786617 4.596323 219.79926 18.109512
3 0.005 0.6 (19,19) 54.260677 1.7063828 213.78706 6.7231503
3 0.005 0.6 (21,21) 51.813843 1.3073473 204.14655 5.1509504
3 0.005 0.6 (23,23) 50.17629 1.2190301 197.6946 4.802978
3 0.005 0.6 (25,25) 48.167572 1.1228453 189.78023 4.4240103
3 0.005 0.6 (27,27) 45.692883 0.7812514 180.02995 3.0781288
3 0.005 0.6 (29,29) 43.50719 0.7475053 171.41833 2.945169
3 0.005 0.6 (31,31) 41.67067 0.62217134 164.18243 2.4513528
3 0.005 0.6 (33,33) 41.415432 1.1176132 163.17679 4.403397
3 0.005 0.6 (35,35) 41.625 1.2686415 164.0025 4.998443
3 0.005 0.6 (37,37) 41.875896 0.5830018 164.99103 2.2970293
3 0.005 0.6 (39,39) 41.403305 0.43426615 163.12901 1.7110082
3 0.005 0.6 (41,41) 42.06134 1.0687435 165.72168 4.21085
3 0.005 0.6 (43,43) 42.59231 0.9987367 167.8137 3.935019
3 0.005 0.6 (45,45) 43.115826 0.39883396 169.87633 1.5714054
3 0.005 0.6 (47,47) 42.911934 0.33019084 169.073 1.3009543
3 0.005 0.6 (49,49) 42.317726 0.31073487 166.73183 1.2242955
3 0.005 0.6 (51,51) 42.165806 0.45210108 166.13327 1.781282
3 0.005 0.6 (53,53) 42.00045 0.38327742 165.48177 1.510113
3 0.005 0.6 (55,55) 42.283745 0.33540502 166.59796 1.3214943
3 0.005 0.6 (57,57) 42.563328 0.46471733 167.69951 1.8309857
3 0.005 0.6 (59,59) 43.160812 0.7208019 170.05359 2.8399553
3 0.005 0.6 (61,61) 44.0041 0.72983545 173.37616 2.875553
3 0.005 0.6 (63,63) 45.07066 0.6007041 177.5784 2.3667707
3 0.005 0.6 (65,65) 46.166397 0.72011083 181.89558 2.8372397
