CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.0 0.6 (3,3) 0.0 8.442549 1.0455204 2.6325731
3 0.0 0.6 (5,5) 0.0 37.19948 9.91496 14.154912
3 0.0 0.6 (7,7) 23.091934 55.91181 37.024746 10.274935
3 0.0 0.6 (9,9) 42.951294 61.803013 51.979893 5.3467607
3 0.0 0.6 (11,11) 48.396427 65.09945 57.064384 5.3937364
3 0.0 0.6 (13,13) 44.491196 61.399563 54.513668 5.273451
3 0.0 0.6 (15,15) 46.86929 66.87187 55.99933 5.985763
3 0.0 0.6 (17,17) 47.509228 63.075916 55.679527 4.590921
3 0.0 0.6 (19,19) 51.87803 57.299084 54.150562 1.7037244
3 0.0 0.6 (21,21) 49.718327 54.096848 51.70593 1.3077362
3 0.0 0.6 (23,23) 47.994644 51.68862 50.071785 1.2190076
3 0.0 0.6 (25,25) 46.84713 50.137352 48.069164 1.1200038
3 0.0 0.6 (27,27) 44.445644 46.649193 45.599773 0.7796887
3 0.0 0.6 (29,29) 42.253513 44.75725 43.418343 0.74625254
3 0.0 0.6 (31,31) 40.614426 42.53151 41.5843 0.621812
3 0.0 0.6 (33,33) 40.06005 43.113396 41.32997 1.117935
3 0.0 0.6 (35,35) 39.37321 42.942413 41.53966 1.2686323
3 0.0 0.6 (37,37) 40.845604 42.731 41.790943 0.5828399
3 0.0 0.6 (39,39) 40.62779 41.99677 41.31923 0.43468902
3 0.0 0.6 (41,41) 40.72575 43.652714 41.97715 1.0684203
3 0.0 0.6 (43,43) 40.7448 43.817997 42.50839 0.99825335
3 0.0 0.6 (45,45) 42.36622 43.729725 43.03225 0.3974598
3 0.0 0.6 (47,47) 42.209457 43.26902 42.82893 0.3289188
3 0.0 0.6 (49,49) 41.88125 42.753513 42.234993 0.31023404
3 0.0 0.6 (51,51) 41.4501 42.945015 42.083706 0.4516303
3 0.0 0.6 (53,53) 41.38236 42.422287 41.9193 0.3831338
3 0.0 0.6 (55,55) 41.68072 42.70665 42.202847 0.33496746
3 0.0 0.6 (57,57) 41.71049 43.274036 42.48172 0.46400186
3 0.0 0.6 (59,59) 41.94416 44.301163 43.078236 0.7196116
3 0.0 0.6 (61,61) 42.696068 45.085457 43.92071 0.7286566
3 0.0 0.6 (63,63) 43.980705 46.026455 44.98604 0.5994118
3 0.0 0.6 (65,65) 45.22618 47.198357 46.08051 0.71870756
