CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.1 0.6 (3,3) 0.0 11.606474 3.0683432 3.1025343
3 0.1 0.6 (5,5) 0.8117828 40.071674 11.71725 14.544875
3 0.1 0.6 (7,7) 25.285522 59.170357 39.820267 10.458746
3 0.1 0.6 (9,9) 46.69869 65.80321 55.65471 5.4870253
3 0.1 0.6 (11,11) 52.164215 69.539154 61.253555 5.686354
3 0.1 0.6 (13,13) 48.247078 65.91615 58.815464 5.530608
3 0.1 0.6 (15,15) 51.008003 71.96892 60.54949 6.292174
3 0.1 0.6 (17,17) 51.58858 67.97754 60.301346 4.8172464
3 0.1 0.6 (19,19) 56.419525 62.148453 58.84417 1.8108335
3 0.1 0.6 (21,21) 54.360798 58.65108 56.269444 1.2930548
3 0.1 0.6 (23,23) 52.375748 56.099236 54.480537 1.2097381
3 0.1 0.6 (25,25) 50.797813 54.50002 52.22871 1.2336278
3 0.1 0.6 (27,27) 48.30236 50.73041 49.53207 0.8476369
3 0.1 0.6 (29,29) 45.955025 48.65784 47.181744 0.800189
3 0.1 0.6 (31,31) 44.268654 46.34264 45.24312 0.6426187
3 0.1 0.6 (33,33) 43.750618 46.7028 44.952774 1.1034552
3 0.1 0.6 (35,35) 42.934643 46.56584 45.14567 1.2678504
3 0.1 0.6 (37,37) 44.377094 46.2982 45.376034 0.59390855
3 0.1 0.6 (39,39) 44.21037 45.49538 44.86052 0.42258328
3 0.1 0.6 (41,41) 44.225437 47.26973 45.51526 1.0807068
3 0.1 0.6 (43,43) 44.199154 47.43943 46.027756 1.0194029
3 0.1 0.6 (45,45) 45.750744 47.32239 46.535557 0.461128
3 0.1 0.6 (47,47) 45.595592 46.871105 46.311913 0.38846427
3 0.1 0.6 (49,49) 45.289146 46.252857 45.708923 0.3327995
3 0.1 0.6 (51,51) 44.91046 46.451313 45.536865 0.47308248
3 0.1 0.6 (53,53) 44.788948 45.837242 45.338554 0.39253837
3 0.1 0.6 (55,55) 45.058212 46.14193 45.613914 0.35216525
3 0.1 0.6 (57,57) 45.092262 46.754185 45.916092 0.49018884
3 0.1 0.6 (59,59) 45.331036 47.848663 46.54809 0.7691775
3 0.1 0.6 (61,61) 46.116787 48.655956 47.4209 0.77762705
3 0.1 0.6 (63,63) 47.45962 49.66442 48.5355 0.65158236
3 0.1 0.6 (65,65) 48.74006 50.87182 49.676952 0.77397877
