CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
2 0.4 0.7 (61,61) 53.56926 55.45849 54.50257 0.71574825
2 0.4 0.7 (63,63) 53.24504 55.326782 54.27325 0.7151399
2 0.4 0.7 (65,65) 53.093082 55.114304 54.167072 0.6815175
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
2 0.4 0.8 (65,65) 53.093082 55.114304 54.167072 0.6815175
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.4 0.6 (3,3) 6.1877346 27.363329 14.478158 7.5868797
3 0.4 0.6 (5,5) 10.514421 32.95884 23.226212 7.8423014
3 0.4 0.6 (7,7) 32.25755 52.00541 43.376663 6.340117
3 0.4 0.6 (9,9) 50.266052 61.01686 55.80765 3.1106977
3 0.4 0.6 (11,11) 55.764027 65.29932 60.983963 2.5264187
3 0.4 0.6 (13,13) 55.020653 62.66352 59.726963 2.6951585
3 0.4 0.6 (15,15) 56.087406 65.559975 60.192852 3.086934
3 0.4 0.6 (17,17) 54.422775 63.785576 59.256943 2.883122
3 0.4 0.6 (19,19) 55.609753 62.760372 58.49324 2.2304974
3 0.4 0.6 (21,21) 54.64455 58.556885 56.8365 1.109267
3 0.4 0.6 (23,23) 54.505436 57.884155 56.18782 1.0189766
3 0.4 0.6 (25,25) 52.91328 55.928764 54.450554 0.85720783
3 0.4 0.6 (27,27) 51.632954 52.882233 52.320942 0.42491105
3 0.4 0.6 (29,29) 49.51112 51.14918 50.29036 0.45826426
3 0.4 0.6 (31,31) 47.49113 49.76911 48.512917 0.7449434
3 0.4 0.6 (33,33) 46.036175 49.07336 47.522163 0.8932591
3 0.4 0.6 (35,35) 44.967224 48.051205 46.52098 0.97898394
3 0.4 0.6 (37,37) 44.495102 47.568584 45.927143 1.0102603
3 0.4 0.6 (39,39) 43.846874 45.901875 45.086487 0.6672899
3 0.4 0.6 (41,41) 43.983295 45.3005 44.633255 0.38033575
3 0.4 0.6 (43,43) 43.599182 44.76158 44.188263 0.37896827
3 0.4 0.6 (45,45) 43.396683 44.485363 43.973057 0.33099502
3 0.4 0.6 (47,47) 43.321583 44.33089 43.72181 0.34429914
3 0.4 0.6 (49,49) 42.988346 44.175022 43.548496 0.38627937
3 0.4 0.6 (51,51) 42.61426 44.668633 43.548367 0.61839324
3 0.4 0.6 (53,53) 42.341877 44.527794 43.49689 0.67845297
3 0.4 0.6 (55,55) 42.61856 44.637222 43.584297 0.6086837
3 0.4 0.6 (57,57) 42.53029 44.859344 43.676052 0.702853
3 0.4 0.6 (59,59) 42.600933 45.151806 43.890438 0.77975214
3 0.4 0.6 (61,61) 43.20989 45.210243 44.197598 0.68284
3 0.4 0.6 (63,63) 43.606403 45.2032 44.433983 0.5902335
3 0.4 0.6 (65,65) 43.839268 45.57904 44.67872 0.5936351
