CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.0 0.6 (49,49) 42.379536 43.247005 42.78625 0.29883704
3 0.1 0.6 (49,49) 42.287914 43.2113 42.72113 0.31194633
3 0.2 0.6 (49,49) 42.36994 43.373432 42.844772 0.33378592
3 0.3 0.6 (49,49) 42.593628 43.68119 43.110184 0.35767525
3 0.4 0.6 (49,49) 42.988346 44.175022 43.548496 0.38627937
3 0.5 0.6 (49,49) 43.595642 44.891838 44.203266 0.42170322
3 0.6 0.6 (49,49) 44.39473 45.80058 45.05039 0.45773908
3 0.7 0.6 (49,49) 45.36291 46.8873 46.071285 0.49792254
3 0.8 0.6 (49,49) 46.50976 48.151543 47.272026 0.53896624
3 0.8 0.6 (49,49) 46.50976 48.151543 47.272026 0.53896624
3 0.9 0.6 (49,49) 47.8076 49.581234 48.632217 0.5848083
3 1.0 0.6 (49,49) 49.235626 51.14695 50.1253 0.6330735
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.0 0.6 (49,49) 42.379536 43.247005 42.78625 0.29883704
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.0 0.6 (50,50) 41.87972 44.038628 42.874596 0.6321242
CWindow Epsilon CThreshold SWindow Min(cm) Max(cm) Mean(cm) SD(cm)
3 0.0 0.6 (60,60) 42.382164 44.149258 43.242912 0.5787732
